2007;01;ΚΩΓ COD;Οικονομική Γραζηηριόηηηα;Αριθμός  Δπιτειρήζεων No of Enterprises;Αριθμός Number;of Insured;Αζθαλιζμένων Individuals;(2) (2);Μέζη Average;Απαζτόληζη Employment per Month);(3) (Days (3);Μέζο;Ζμερομίζθιο Average Wage;(3) (3);Economic Activity;
2007;01;NA;NA;;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;%;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;NA;
2007;01;NA;ΑΓΝΧ΢ΣΖ;2360;1579;1395;2974;0.78;22.89;22.31;22.62;40.12;34.34;37.44;UNKNOWN;
2007;01;1;ΓΔΧΡΓΗΑ. ΚΣΖΝΟΣΡΟΦΗΑ. ΘΖΡΑ ΚΑΗ ΢ΒΓ;834;1019;385;1404;0.37;23.79;23.61;23.74;37.11;36.35;36.90;AGRICULTURE. HUNTING AND RELATED SERVICE ACTIVITIES;
2007;01;2;ΓΑ΢ΟΚΟΜΗΑ. ΤΛΟΣΟΜΗΑ ΚΑΗ ΢ΤΝΑΦΔΗ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢;98;99;43;142;0.04;19.21;18.65;19.04;33.32;32.72;33.14;FORESTRY. LOGGING AND RELATED SERVICES;
2007;01;5;ΑΛΗΔΗΑ. ΔΚΜΔΣΑΛΛΔΤ΢Ζ ΗΥΘΤΟΣΡΟΦΔΗΧΝ ΚΑΗ ΜΟΝΑΓΧΝ ΠΑΡΑΓΧΓΖ΢ ΓΟΝΟΤ ΒΓ΢ ΜΔ ΣΖΝ ΑΛΗΔΗΑ;218;360;76;436;0.11;24.07;23.34;23.94;42.89;39.53;42.32;FISHING. OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING;
2007;01;10;ΔΞΟΡΤΞΖ ΑΝΘΡΑΚΑ ΚΑΗ ΛΗΓΝΗΣΖ. ΔΞΟΡΤΞΖ ΣΤΡΦΖ΢;25;26;5;31;0.01;23.65;25.00;23.87;39.41;32.52;38.25;MINING OF COAL AND LIGNITE;
2007;01;11;ΑΝΣΛΖ΢Ζ ΑΡΓΟΤ ΠΔΣΡΔΛΑΗΟΤ ΚΑΗ ΦΤ΢ΗΚΟΤ ΑΔΡΗΟΤ.ΒΓ΢ ΜΔ ΣΖΝ ΑΝΣΛΖ΢Ζ ΠΔΣΡΔΛΑΗΟΤ ΚΑΗ ΦΤ΢ΗΚΟΤ ΑΔΡΗΟΤ.ΜΔ ΔΞΑΗΡΔ΢Ζ ΣΗ΢ ΜΔΛΔΣΔ΢;15;17;1;18;0.00;19.94;25.00;20.22;38.46;31.85;38.01;EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS; SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION. EXCLUDING SURVEYING;
2007;01;12;ΔΞΟΡΤΞΖ ΜΔΣΑΛΛΔΤΜΑΣΧΝ ΟΤΡΑΝΗΟΤ ΚΑΗ ΘΟΡΗΟΤ;3;4;0;4;0.00;20.00;NA;20.00;31.71;NA;31.71;MINING OF URANIUM AND THORIUM ORES;
2007;01;13;ΔΞΟΡΤΞΖ ΜΔΣΑΛΛΟΤΥΧΝ ΜΔΣΑΛΛΔΤΜΑΣΧΝ;21;37;4;41;0.01;25.81;21.25;25.37;64.33;45.68;62.80;MINING OF METAL ORES;
2007;01;14;ΑΛΛΔ΢ ΔΞΟΡΤΚΣΗΚΔ΢ ΚΑΗ ΛΑΣΟΜΗΚΔ΢ ΓΡΑ΢ΣΖΡΗΟΣΖΣΔ΢;289;712;65;777;0.20;22.35;22.98;22.40;46.58;36.90;45.75;OTHER MINING AND QUARRYING;
2007;01;15;ΒΗΟΜΖΥΑΝΗΑ ΣΡΟΦΗΜΧΝ ΚΑΗ ΠΟΣΧΝ;6330;7872;5192;13064;3.41;23.72;23.24;23.53;38.43;34.42;36.86;MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES;
2007;01;16;ΠΑΡΑΓΧΓΖ ΠΡΟΗΟΝΣΧΝ ΚΑΠΝΟΤ;11;12;8;20;0.01;23.50;21.25;22.60;59.34;52.58;56.80;MANUFACTURE OF TOBACCO PRODUCTS;
2007;01;17;ΠΑΡΑΓΧΓΖ ΚΛΧ΢ΣΟΤΦΑΝΣΟΤΡΓΗΚΧΝ ΤΛΧΝ;1084;1362;1306;2668;0.70;23.45;23.28;23.36;37.55;35.91;36.75;MANUFACTURE OF TEXTILES;
2007;01;18;ΚΑΣΑ΢ΚΔΤΖ ΔΗΓΧΝ ΔΝΓΤ΢Ζ΢.ΚΑΣΔΡΓΑ΢ΗΑ ΚΑΗ ΒΑΦΖ ΓΟΤΝΑΡΗΚΧΝ;2603;1618;3812;5430;1.42;22.85;22.10;22.32;36.17;35.70;35.84;MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEING OF FUR;
2007;01;19;ΚΑΣΔΡΓΑ΢ΗΑ ΚΑΗ ΓΔΦΖ ΓΔΡΜΑΣΟ΢. ΚΑΣΑ΢ΚΔΤΖ ΔΗΓΧΝ ΣΑΞΗΓΗΟΤ(ΑΠΟ΢ΚΔΤΧΝ). Σ΢ΑΝΣΧΝ. ΔΗΓΧΝ ΢ΔΛΟΠΟΗΗΑ΢. ΔΗΓΧΝ ΢ΑΓΜΑΣΟΠΟΗΗΑ΢ ΚΑΗ ΤΠΟΓΖΜΑΣΧΝ;470;632;459;1091;0.28;21.71;21.42;21.59;40.75;37.89;39.56;TANNING AND DRESSING OF LEATHER ; MANUFACTURE OF LUGGAGE. HANDBAGS. SADDLERY. HARNESS AND FOOTWEAR;
2007;01;ΚΩΓ COD;Οικονομική Γραζηηριόηηηα;Αριθμός  Δπιτειρήζεων No of Enterprises;Αριθμός Number;of Insured;Αζθαλιζμένων Individuals;(2) (2);Μέζη Average;Απαζτόληζη Employment per Month);(3) (Days (3);Μέζο;Ζμερομίζθιο Average Wage;(3) (3);Economic Activity;
2007;01;NA;NA;;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;%;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;Άνδρες Males;Γσναίκες Females;΢ύνολο Total;NA;
2007;01;20;ΒΗΟΜΖΥΑΝΗΑ ΞΤΛΟΤ ΚΑΗ ΚΑΣΑ΢ΚΔΤΖ ΠΡΟΗΟΝΣΧΝ ΑΠΌ ΞΤΛΟ ΚΑΗ ΦΔΛΛΟ.ΔΚΣΟ΢ ΑΠΌ ΣΑ ΔΠΗΠΛΑ ΚΑΣΑ΢ΚΔΤΖ ΔΗΓΧΝ ΚΑΛΑΘΟΠΟΗΗΑ΢ ΚΑΗ ΢ΠΑΡΣΟΠΛΔΚΣΗΚΖ΢;1611;2835;346;3181;0.83;23.02;23.01;23.02;38.18;34.82;37.81;MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK. EXCEPT FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS;
